model_name,n_folds,fold_number,f1_score,training_time
SVC,3,2,0.8123209169054442,4.500845909118652
SVC,3,3,0.8053740014524329,4.500845909118652
AdaBoost,3,1,0.8490902604352479,0.9788074493408203
AdaBoost,3,2,0.8306394940267041,0.9788074493408203
AdaBoost,3,3,0.8329177057356608,0.9788074493408203
SuperEnsemble,3,1,0.8623988226637234,33.946563482284546
SuperEnsemble,3,2,0.8623655913978494,33.946563482284546
SuperEnsemble,3,3,0.8445896877269427,33.946563482284546
LightGBM,4,1,0.8702516033547114,1.059173822402954
LightGBM,4,2,0.8508341511285574,1.059173822402954
LightGBM,4,3,0.8510843373493976,1.059173822402954
LightGBM,4,4,0.8525073746312685,1.059173822402954
Bagging,4,1,0.861900097943193,2.981250524520874
Bagging,4,2,0.8565853658536585,2.981250524520874
Bagging,4,3,0.8435835351089589,2.981250524520874
Bagging,4,4,0.847424684159378,2.981250524520874
XGBoost,4,1,0.8674223755544603,0.958916187286377
XGBoost,4,2,0.8570029382957884,0.958916187286377
XGBoost,4,3,0.8498800959232614,0.958916187286377
XGBoost,4,4,0.8493417844953681,0.958916187286377
MLP,4,1,0.8477842003853564,3.463223934173584
MLP,4,2,0.8264223722275795,3.463223934173584
MLP,4,3,0.8331805682859762,3.463223934173584
MLP,4,4,0.8306264501160093,3.463223934173584
DecisionTree,4,1,0.828941063727839,0.14739632606506348
DecisionTree,4,2,0.8140900195694716,0.14739632606506348
DecisionTree,4,3,0.8211920529801324,0.14739632606506348
DecisionTree,4,4,0.8224211022138483,0.14739632606506348
KNN,4,1,0.8276186002818224,0.23405957221984863
KNN,4,2,0.8296780214652356,0.23405957221984863
KNN,4,3,0.8189855746859004,0.23405957221984863
KNN,4,4,0.8202979515828678,0.23405957221984863
QDA,4,1,0.8030089327691584,0.1259448528289795
QDA,4,2,0.7773089545241444,0.1259448528289795
QDA,4,3,0.7735062528948587,0.1259448528289795
QDA,4,4,0.7870544090056285,0.1259448528289795
LDA,4,1,0.7930549038010324,0.1358332633972168
LDA,4,2,0.7709393799167052,0.1358332633972168
LDA,4,3,0.7644608977325312,0.1358332633972168
LDA,4,4,0.7690875232774674,0.1358332633972168
NaiveBayes,4,1,0.789641072239891,0.1255660057067871
NaiveBayes,4,2,0.7664562669071235,0.1255660057067871
NaiveBayes,4,3,0.7584670231729055,0.1255660057067871
NaiveBayes,4,4,0.7730398899587345,0.1255660057067871
SGD,4,1,0.7879656160458453,0.16871213912963867
SGD,4,2,0.76269621421976,0.16871213912963867
SGD,4,3,0.7685269899359561,0.16871213912963867
SGD,4,4,0.7644320297951583,0.16871213912963867
ExtraTrees,4,1,0.8660496833901608,0.41648173332214355
ExtraTrees,4,2,0.8585271317829457,0.41648173332214355
ExtraTrees,4,3,0.8494208494208494,0.41648173332214355
ExtraTrees,4,4,0.8514369215781783,0.41648173332214355
GradientBoosting,4,1,0.8647859922178989,2.4687485694885254
GradientBoosting,4,2,0.8591954022988506,2.4687485694885254
GradientBoosting,4,3,0.8448687350835322,2.4687485694885254
GradientBoosting,4,4,0.8529980657640233,2.4687485694885254
RandomForest,4,1,0.8581213307240705,0.8872830867767334
RandomForest,4,2,0.8568637029799707,0.8872830867767334
RandomForest,4,3,0.8416464891041162,0.8872830867767334
RandomForest,4,4,0.8469785575048733,0.8872830867767334
LogisticRegression,4,1,0.7936060178655383,0.14803004264831543
LogisticRegression,4,2,0.7694444444444445,0.14803004264831543
LogisticRegression,4,3,0.7694457382394038,0.14803004264831543
LogisticRegression,4,4,0.770745428973277,0.14803004264831543
SVC,4,1,0.8356899073622623,6.731096506118774
SVC,4,2,0.8247520075578649,6.731096506118774
SVC,4,3,0.8152327221438646,6.731096506118774
SVC,4,4,0.8031265266243283,6.731096506118774
AdaBoost,4,1,0.8550863723608445,1.143350601196289
AdaBoost,4,2,0.8405253283302064,1.143350601196289
AdaBoost,4,3,0.8345864661654135,1.143350601196289
