model_name,n_folds,f1_mean,f1_std,f1_min,f1_max,fold_count,cv_range,stability
RandomForest,3,0.8502478891761073,0.008209979265018761,0.8419519300801165,0.8583690987124464,3,0.016417168632329893,Very Stable
RandomForest,4,0.8509025200782576,0.007931341214854866,0.8416464891041162,0.8581213307240705,4,0.016474841619954272,Very Stable
RandomForest,5,0.8512133520940152,0.006410085189338892,0.8416616496086695,0.8580171358629131,5,0.016355486254243545,Very Stable
SGD,2,0.7774951946500437,0.010626092424159931,0.7699814126394052,0.7850089766606823,2,0.015027564021277029,Very Stable
SGD,3,0.7733154451817051,0.003040416723470256,0.770914225202965,0.7767341040462428,3,0.005819878843277726,Very Stable
SGD,4,0.77090521249918,0.011633329400282937,0.76269621421976,0.7879656160458453,4,0.02526940182608528,Very Stable
SGD,5,0.7744951620637508,0.008353324242460367,0.7643312101910829,0.7850678733031674,5,0.020736663112084552,Very Stable
SVC,2,0.8122543172634711,0.014493012709613949,0.8020062096966802,0.8225024248302619,2,0.020496215133581686,Very Stable
SVC,3,0.8151938761991762,0.011528049946201123,0.8053740014524329,0.8278867102396514,3,0.02251270878721856,Very Stable
SVC,4,0.8197002909220801,0.013854439825773408,0.8031265266243283,0.8356899073622623,4,0.03256338073793408,Very Stable
SVC,5,0.8169695903384089,0.010862546564166657,0.8034292712798531,0.8287227781047675,5,0.02529350682491438,Very Stable
SuperEnsemble,2,0.8517417082959517,0.009310490245495342,0.8451581975071908,0.8583252190847127,2,0.01316702157752192,Very Stable
SuperEnsemble,3,0.8564513672628385,0.010272529247389606,0.8445896877269427,0.8623988226637234,3,0.017809134936780713,Very Stable
SuperEnsemble,4,0.8530775386085903,0.007315724939363249,0.84765625,0.8635696821515892,4,0.015913432151589246,Very Stable
SuperEnsemble,5,0.8553379046707468,0.008371931140762612,0.8442028985507246,0.8656898656898657,5,0.02148696713914111,Very Stable
XGBoost,2,0.8514193330451958,0.009879094807353267,0.8444337581149315,0.8584049079754601,2,0.013971149860528609,Very Stable
XGBoost,3,0.8557562682454346,0.010331513786582284,0.843829632326174,0.8619576909286483,3,0.01812805860247424,Very Stable
XGBoost,4,0.8559117985672196,0.008430707565717026,0.8493417844953681,0.8674223755544603,4,0.01808059105909221,Very Stable
XGBoost,5,0.8544712334286579,0.009100894221808539,0.8456375838926175,0.8678090575275398,5,0.022171473634922334,Very Stable
